Variable,Tipo de combustible,Probabilidad,Justificación,Ponderación
SO2,Sin definir,2,Probabilidad baja — podría ser cualquier cosa; no hay evidencia para alto SO₂.,0.6
SO2,Carbón,6,"Moderada — carbón suele contener azufre, genera SO₂ al quemarse.",0.6
SO2,Otros,3,Baja a moderada — depende del tipo; mantengo cautela.,0.6
SO2,Gas,1,Baja — gas natural típicamente tiene poco azufre.,0.6
SO2,ACPM,9,"Alta — El SO2 se forma con la quema de diésel, especialmente a nivel industrial",0.6
SO2,No aplica,1,Probabilidad baja — algunos procesos químicos.,0.6
SO2,Fuel Oil No.8,9,Alta — fuel-oils pesados suelen ser muy sulfurosos → alto SO₂.,0.6
SO2,Coque,7,Moderada-alta — coque puede liberar SO₂ si contiene azufre.,0.6
SO2,Hulla,6,Moderada — tipo de carbón; riesgo de SO₂ similar al carbón.,0.6
SO2,Mezcla,5,Media — mezcla puede incluir fracciones sulfurosas.,0.6
SO2,Madera,2,Baja — biomasa tiene poco azufre comparado con fuel oil/coal.,0.6
SO2,Leña,2,"Baja — similar a madera, baja emisión de SO₂.",0.6
PM2.5,Sin definir,2,Baja — puede o no producir PM2.5.,0.4
PM2.5,Carbón,6,Alta-moderada — combustión de carbón produce partículas finas.,0.4
PM2.5,Otros,6,Moderada — depende del combustible concreto.,0.4
PM2.5,Gas,1,Baja — gas genera muy poca PM2.5 por combustión limpia.,0.4
PM2.5,ACPM,6,Moderada-alta — diesel emite PM2.5 (particularmente en motores y calderas).,0.4
PM2.5,No aplica,8,Alta — muchas industrias emiten PM sin quemar nada.,0.4
PM2.5,Fuel Oil No.8,7,Alta — combustibles pesados producen mucho particulado.,0.4
PM2.5,Coque,7,Alta — combustión/coquización produce PM.,0.4
PM2.5,Hulla,6,Alta-moderada — carbón mineral produce PM.,0.4
PM2.5,Mezcla,6,Moderada — puede incluir fracciones particuladas.,0.4
PM2.5,Madera,8,Alta — biomasa produce partículas finas significativas.,0.4
PM2.5,Leña,8,"Alta — similar a madera, relevante fuente de PM2.5.",0.4
NO2,Sin definir,2,Baja — sin definir.,0.6
NO2,Carbón,5,Moderada — combustión a altas temperaturas produce NOx.,0.6
NO2,Otros,6,Moderada — depende.,0.6
NO2,Gas,7,Moderada-alta — gas en calderas motores produce NOx.,0.6
NO2,ACPM,8,Alta — diesel es importante emisor de NOx.,0.6
NO2,No aplica,1,Probabilidad baja — algunos procesos químicos.,0.6
NO2,Fuel Oil No.8,7,Alta — combustión de fuel-oil genera NOx.,0.6
NO2,Coque,6,Alta-moderada — procesos de coque generan NOx.,0.6
NO2,Hulla,6,Moderada — similar al carbón.,0.6
NO2,Mezcla,6,Moderada — mezcla puede incluir fuentes NOx.,0.6
NO2,Madera,5,Moderada-baja — biomasa genera NOx en combustión.,0.6
NO2,Leña,4,Moderada-baja — similar a madera.,0.6
CO,Sin definir,2,Baja — sin definir.,0.6
CO,Carbón,5,Moderada — combustión incompleta puede producir CO.,0.6
CO,Otros,4,Moderada — depende.,0.6
CO,Gas,2,Baja — gas bien quemado produce poco CO; mala combustión puede producir algo.,0.6
CO,ACPM,5,"Moderada — diesel produce algo de CO, sobre todo en condiciones subóptimas.",0.6
CO,No aplica,0,No corresponde a emisiones.,0.6
CO,Fuel Oil No.8,5,Moderada — combustión incompleta en fuel oil produce CO.,0.6
CO,Coque,4,Moderada — puede producir CO en ciertas condiciones.,0.6
CO,Hulla,4,Moderada — carbón puede producir CO.,0.6
CO,Mezcla,4,Moderada — variable.,0.6
CO,Madera,8,Alta — biomasa y leña generan CO por combustión incompleta.,0.6
CO,Leña,8,Alta — común emisor de CO.,0.6
NO,Sin definir,2,Baja — sin definir.,0.6
NO,Carbón,5,Moderada — combustión a alta T produce NO.,0.6
NO,Otros,6,Moderada — depende.,0.6
NO,Gas,6,Moderada-alta — motores/generadores a gas generan NO.,0.6
NO,ACPM,8,Alta — diesel genera NO (precursores de NO₂/NOX).,0.6
NO,No aplica,1,Probabilidad baja — algunos procesos químicos.,0.6
NO,Fuel Oil No.8,7,Alta — alto-temp combustion → NO.,0.6
NO,Coque,7,Alta-moderada — procesos producen NO.,0.6
NO,Hulla,6,Moderada — como otros carbones.,0.6
NO,Mezcla,6,Moderada — variable.,0.6
NO,Madera,4,Moderada-baja — biomasa produce algo de NO en combustión.,0.6
NO,Leña,4,Moderada-baja — similar a madera.,0.6
PM10,Sin definir,2,Baja — sin definir.,0.4
PM10,Carbón,6,Alta-moderada — combustión de carbón genera PM10.,0.4
PM10,Otros,6,Moderada — depende del combustible.,0.4
PM10,Gas,1,Baja — gas produce poco PM10.,0.4
PM10,ACPM,6,Moderada-alta — diesel emite PM10.,0.4
PM10,No aplica,9,"Alta — fuente muy importante en cementeras, minería, construcción.",0.4
PM10,Fuel Oil No.8,7,Alta — combustibles pesados producen mucho PM10.,0.4
PM10,Coque,7,Alta — combustión/coquización produce PM10.,0.4
PM10,Hulla,6,Alta-moderada — carbón mineral produce PM10.,0.4
PM10,Mezcla,6,Moderada — mezcla puede incluir fracciones particuladas.,0.4
PM10,Madera,8,Alta — biomasa produce partículas gruesas también.,0.4
PM10,Leña,8,Alta — similar a madera.,0.4
NOX,Sin definir,2,Baja — sin definir.,0.6
NOX,Carbón,5,Moderada — combustión sólida produce NOx.,0.6
NOX,Otros,6,Moderada — depende.,0.6
NOX,Gas,7,Moderada-alta — gas produce NOx en motores y calderas.,0.6
NOX,ACPM,8,Alta — diesel es importante emisor de NOx.,0.6
NOX,No aplica,1,Probabilidad baja — algunos procesos químicos.,0.6
NOX,Fuel Oil No.8,7,Alta — fuel-oil genera NOx.,0.6
NOX,Coque,6,Alta-moderada — coque genera NOx.,0.6
NOX,Hulla,6,Moderada — hulla similar a carbón.,0.6
NOX,Mezcla,6,Moderada — mezcla variable.,0.6
NOX,Madera,5,Moderada-baja — biomasa produce NOx.,0.6
NOX,Leña,4,Moderada-baja — leña similar.,0.6
O3,Sin definir,2,Baja — sin definir.,0.6
O3,Carbón,4,Moderada — contribución vía precursores (NOx/VOCs).,0.6
O3,Otros,5,Moderada — depende de VOCs emitidos.,0.6
O3,Gas,5,Moderada — gas puede emitir precursores y favorecer O₃.,0.6
O3,ACPM,6,Alta — diesel/ACPM emiten NOx (precursores) que favorecen O₃.,0.6
O3,No aplica,2,No corresponde a emisiones primarias.,0.6
O3,Fuel Oil No.8,6,Alta — fuel-oil emite NOx y algunos VOCs que participan en formación de O₃.,0.6
O3,Coque,6,Alta — coque puede liberar precursores.,0.6
O3,Hulla,5,Moderada — contribución a precusores NOx/VOCs.,0.6
O3,Mezcla,5,Moderada — mezcla variable en precursores.,0.6
O3,Madera,5,"Moderada — biomasa emite NMVOCs, contribuye a O₃.",0.6
O3,Leña,4,"Baja-moderada — biomasa contribuye, pero menor que fósiles.",0.6
